邻接矩阵：
                    东北门              东南门              艺术楼              学术报告厅          大会堂              图书馆              图书馆外广场        体育馆              体育场              教学楼A-D座         教学楼E-G座         实验楼A-E区         文心湖              八角楼              办公楼              学术交流中心        下沉广场-教学区     下沉广场-生活区     文采园              博雅园              风采园              门诊部              学生公寓北苑1-4栋   学生公寓北苑5-6栋   学生公寓南苑7-8栋   学生公寓南苑9-13栋  教工公寓1-4栋       友苑                又康超市            学生创业实践基地    Gogo新天地          
东北门              0                   702                 108                 96                  INF                 INF                 192                 517                 INF                 INF                 INF                 224                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
东南门              702                 0                   INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 174                 131                 87                  144                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 510                 INF                 
艺术楼              108                 INF                 0                   102                 150                 INF                 106                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
学术报告厅          96                  INF                 102                 0                   INF                 INF                 135                 INF                 INF                 INF                 INF                 251                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
大会堂              INF                 INF                 150                 INF                 0                   137                 107                 INF                 293                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
图书馆              INF                 INF                 INF                 INF                 137                 0                   129                 INF                 263                 205                 268                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
图书馆外广场        192                 INF                 106                 135                 107                 129                 0                   INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
体育馆              517                 INF                 INF                 INF                 INF                 INF                 INF                 0                   593                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
体育场              INF                 INF                 INF                 INF                 293                 263                 INF                 593                 0                   INF                 INF                 INF                 INF                 INF                 INF                 INF                 631                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
教学楼A-D座         INF                 INF                 INF                 INF                 INF                 205                 INF                 INF                 INF                 0                   98                  INF                 INF                 INF                 INF                 INF                 183                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 INF                 
